match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
40,24,1,3.3,1,Tripathi,Yash Dayal,"Yash Dayal to Tripathi, 1 run",1
40,25,1,3.4,1,Abhishek Sharma,Yash Dayal,"Yash Dayal to Abhishek Sharma, 1 run",1
40,26,1,3.5,1,Tripathi,Yash Dayal,"Yash Dayal to Tripathi, 1 run",1
40,27,1,3.6,0,Abhishek Sharma,Yash Dayal,"Yash Dayal to Abhishek Sharma, no run",0
40,28,1,4.1,0,Tripathi,Shami,"Shami to Tripathi, no run",0
40,29,1,4.2,0,Tripathi,Shami,"Shami to Tripathi, no run",0
40,30,1,4.3,6,Tripathi,Shami,"Shami to Tripathi, Six runs",6
40,31,1,4.4,4,Tripathi,Shami,"Shami to Tripathi, Four runs",4
40,32,1,4.5,4,Tripathi,Shami,"Shami to Tripathi, Four runs",4
40,33,1,4.6,w,Tripathi,Shami,"Shami to Tripathi, no run Wicket - b Shami batsmen",0
40,34,1,5.1,4,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, Four runs",4
40,35,1,5.2,4,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, Four runs",4
40,36,1,5.3,0,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, no run",0
40,37,1,5.4,1,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, 1 run",1
40,38,1,5.5,0,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, no run",0
40,39,1,5.6,0,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, no run",0
40,40,1,6.1,0,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, no run",0
40,41,1,6.2,2,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 2 runs",2
40,42,1,6.3,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,43,1,6.4,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,44,1,6.5,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,45,1,6.6,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,46,1,7.1,0,Markram,Ferguson,"Ferguson to Markram, no run",0
40,47,1,7.2,4,Markram,Ferguson,"Ferguson to Markram, Four runs",4
40,48,1,7.3,1,Markram,Ferguson,"Ferguson to Markram, 1 run",1
40,49,1,7.4,1,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, 1 run",1
40,50,1,7.5,1,Markram,Ferguson,"Ferguson to Markram, 1 run",1
40,51,1,7.6,0,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, no run",0
40,52,1,8.1,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,53,1,8.2,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,54,1,8.3,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,55,1,8.4,6,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, Six runs",6
40,56,1,8.5,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,57,1,8.6,0,Markram,Rashid Khan,"Rashid Khan to Markram, no run",0
40,58,1,9.1,1,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, 1 run",1
40,59,1,9.2,2,Markram,Ferguson,"Ferguson to Markram, 2 runs",2
40,60,1,9.3,1,Markram,Ferguson,"Ferguson to Markram, 1 run",1
40,61,1,9.4,1wd,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, 1 wide",1
40,62,1,9.4,0,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, no run",0
40,63,1,9.5,1,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, 1 run",1
40,64,1,9.6,1wd,Markram,Ferguson,"Ferguson to Markram, 1 wide",1
40,65,1,9.6,1,Markram,Ferguson,"Ferguson to Markram, 1 run",1
40,66,1,10.1,2,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, 2 runs",2
40,67,1,10.2,1,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, 1 run",1
40,68,1,10.3,1,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, 1 run",1
40,69,1,10.4,2,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, 2 runs",2
40,70,1,10.5,0,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, no run",0
40,71,1,10.6,6,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, Six runs",6
40,72,1,11.1,6,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, Six runs",6
40,73,1,11.2,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,74,1,11.3,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,75,1,11.4,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,76,1,11.5,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,77,1,11.6,6,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, Six runs",6
40,78,1,12.1,0,Markram,Yash Dayal,"Yash Dayal to Markram, no run",0
40,79,1,12.2,0,Markram,Yash Dayal,"Yash Dayal to Markram, no run",0
40,80,1,12.3,1,Markram,Yash Dayal,"Yash Dayal to Markram, 1 run",1
40,81,1,12.4,1,Abhishek Sharma,Yash Dayal,"Yash Dayal to Abhishek Sharma, 1 run",1
40,82,1,12.5,1,Markram,Yash Dayal,"Yash Dayal to Markram, 1 run",1
40,83,1,12.6,0,Abhishek Sharma,Yash Dayal,"Yash Dayal to Abhishek Sharma, no run",0
40,84,1,13.1,1,Markram,Ferguson,"Ferguson to Markram, 1 run",1
40,85,1,13.2,4,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, Four runs",4
40,86,1,13.3,1,Abhishek Sharma,Ferguson,"Ferguson to Abhishek Sharma, 1 run",1
40,87,1,13.4,0,Markram,Ferguson,"Ferguson to Markram, no run",0
40,88,1,13.5,6,Markram,Ferguson,"Ferguson to Markram, Six runs",6
40,89,1,13.6,0,Markram,Ferguson,"Ferguson to Markram, no run",0
40,90,1,14.1,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,91,1,14.2,1,Markram,Rashid Khan,"Rashid Khan to Markram, 1 run",1
40,92,1,14.3,4,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, Four runs",4
40,93,1,14.4,2,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 2 runs",2
40,94,1,14.5,1,Abhishek Sharma,Rashid Khan,"Rashid Khan to Abhishek Sharma, 1 run",1
40,95,1,14.6,4,Markram,Rashid Khan,"Rashid Khan to Markram, Four runs",4
40,96,1,15.1,w,Abhishek Sharma,Alzarri Joseph,"Alzarri Joseph to Abhishek Sharma, no run Wicket - b Alzarri Joseph batsmen",0
40,97,1,15.2,0,Pooran,Alzarri Joseph,"Alzarri Joseph to Pooran, no run",0
40,98,1,15.3,1,Pooran,Alzarri Joseph,"Alzarri Joseph to Pooran, 1 run",1
40,99,1,15.4,1,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, 1 run",1
40,100,1,15.5,1,Pooran,Alzarri Joseph,"Alzarri Joseph to Pooran, 1 run",1
40,101,1,15.6,2,Markram,Alzarri Joseph,"Alzarri Joseph to Markram, 2 runs",2
40,102,1,16.1,1,Pooran,Shami,"Shami to Pooran, 1 run",1
40,103,1,16.2,1,Markram,Shami,"Shami to Markram, 1 run",1
40,104,1,16.3,w,Pooran,Shami,"Shami to Pooran, no run Wicket - c Shubman Gill b Shami batsmen",0
40,105,1,16.4,1,Washington Sundar,Shami,"Shami to Washington Sundar, 1 run",1
40,106,1,16.5,6,Markram,Shami,"Shami to Markram, Six runs",6
40,107,1,16.6,1,Markram,Shami,"Shami to Markram, 1 run",1
40,108,1,17.1,1,Markram,Yash Dayal,"Yash Dayal to Markram, 1 run",1
40,109,1,17.2,1,Washington Sundar,Yash Dayal,"Yash Dayal to Washington Sundar, 1 run",1
40,110,1,17.3,2,Markram,Yash Dayal,"Yash Dayal to Markram, 2 runs",2
40,111,1,17.4,1,Markram,Yash Dayal,"Yash Dayal to Markram, 1 run",1
40,112,1,17.5,1,Washington Sundar,Yash Dayal,"Yash Dayal to Washington Sundar, 1 run",1
40,113,1,17.6,w,Markram,Yash Dayal,"Yash Dayal to Markram, no run Wicket - c Miller b Yash Dayal batsmen",0
40,114,1,18.1,1wd,Washington Sundar,Alzarri Joseph,"Alzarri Joseph to Washington Sundar, 1 wide",1
40,115,1,18.1,w,Washington Sundar,Alzarri Joseph,"Alzarri Joseph to Washington Sundar, no run Wicket - c Alzarri Joseph b Alzarri Joseph batsmen",0
40,116,1,18.2,4,Shashank Singh,Alzarri Joseph,"Alzarri Joseph to Shashank Singh, Four runs",4
40,117,1,18.3,2,Shashank Singh,Alzarri Joseph,"Alzarri Joseph to Shashank Singh, 2 runs",2
40,118,1,18.4,1,Shashank Singh,Alzarri Joseph,"Alzarri Joseph to Shashank Singh, 1 run",1
40,119,1,18.5,0,Marco Jansen,Alzarri Joseph,"Alzarri Joseph to Marco Jansen, no run",0
40,120,1,18.6,1,Marco Jansen,Alzarri Joseph,"Alzarri Joseph to Marco Jansen, 1 run",1
40,121,1,19.1,6,Marco Jansen,Ferguson,"Ferguson to Marco Jansen, Six runs",6
40,122,1,19.2,0,Marco Jansen,Ferguson,"Ferguson to Marco Jansen, no run",0
40,123,1,19.3,1,Marco Jansen,Ferguson,"Ferguson to Marco Jansen, 1 run",1
40,124,1,19.4,6,Shashank Singh,Ferguson,"Ferguson to Shashank Singh, Six runs",6
40,125,1,19.5,6,Shashank Singh,Ferguson,"Ferguson to Shashank Singh, Six runs",6
40,126,1,19.6,6,Shashank Singh,Ferguson,"Ferguson to Shashank Singh, Six runs",6
40,1,2,0.1,0,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, no run",0
40,2,2,0.2,0,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, no run",0
40,3,2,0.3,0,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, no run",0
40,4,2,0.4,1,W Saha,Bhuvneshwar,"Bhuvneshwar to W Saha, 1 run",1
40,5,2,0.5,0,Shubman Gill,Bhuvneshwar,"Bhuvneshwar to Shubman Gill, no run",0
40,6,2,0.6,1,Shubman Gill,Bhuvneshwar,"Bhuvneshwar to Shubman Gill, 1 run",1
40,7,2,1.1,1,Shubman Gill,Marco Jansen,"Marco Jansen to Shubman Gill, 1 run",1
40,8,2,1.2,4,W Saha,Marco Jansen,"Marco Jansen to W Saha, Four runs",4
